Country C,Maturity Mapping,,,,,,,,,,,,,,
Strategy,80,,,,,,,,,,,,,,
Legal,55,,,,,,,,,,,,,,
Funding,74,,,,,,,,,,,,,,
Tech Capacity,48,,,,,,,,,,,,,,
Tech Innovation,69,,,,,,,,,,,,,,
Skills,40,,,,,,,,,,,,,,
Ethics,18,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Total Maturity Score,384,,,,,,,,,,,,,,
Total Possible Score,485,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Large Impact Negative External Infulence,Amount,Medium Impact Negative External Influence,Amount,Small Impact Negative External Influence,Amount,,,,,,,,,,
,,Lack of trust in government,1,NSA Leaks,1,,,,,,,,,,
,,,,Ageing Population,1,,,,,,,,,,
,,,,Strong of AI contorversies,1,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Total,0,Total,1,Total,3,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Large Impact Positive External Infulence,Amount,Medium Impact Negative Positive Influence,Amount,Small Impact Positive External Influence,Amount,,,,,,,,,,
Academic Culture,1,Innovation Culture,1,Immigration,1,,,,,,,,,,
,,International Power/Leader,1,Trust in Military,1,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Total,1,Total,2,Total,2,,,,,,,,,,
,,,,,,,,,,,,,,,
